total_pnl_usd,avg_daily_pnl,daily_pnl_std,sharpe,calmar,max_drawdown,win_rate,n_steps,expiry_pnl,attribution,cycle,entry_spot,entry_iv
-14064.36,-83.72,880.08,-1.818,-1.776,-17220.96,0.6071,168,-10505.58,"{'delta_pnl': -3383.82, 'gamma_pnl': -3877.03, 'theta_pnl': 4178.4, 'vega_pnl': 0.0, 'fee_pnl': -476.32}",32,82569.26067945086,0.796
-8242.63,-49.06,805.46,-1.164,-1.335,-13426.05,0.6071,168,-8108.55,"{'delta_pnl': -396.32, 'gamma_pnl': -4538.2, 'theta_pnl': 5345.78, 'vega_pnl': 0.0, 'fee_pnl': -545.35}",33,93391.96642672487,0.823
2721.61,16.2,344.11,0.9,1.595,-3708.91,0.6548,168,-2746.28,"{'delta_pnl': 5711.49, 'gamma_pnl': -6586.63, 'theta_pnl': 7143.81, 'vega_pnl': 0.0, 'fee_pnl': -800.79}",34,102406.3821599318,0.793
-2510.94,-14.95,603.3,-0.473,-0.748,-7297.8,0.5357,168,-5263.71,"{'delta_pnl': 3251.13, 'gamma_pnl': -4938.63, 'theta_pnl': 5013.46, 'vega_pnl': 0.0, 'fee_pnl': -573.2}",35,99719.29247900868,0.78
4327.49,25.76,374.84,1.313,2.497,-3768.19,0.5833,168,-1685.66,"{'delta_pnl': 6688.94, 'gamma_pnl': -6196.05, 'theta_pnl': 6288.91, 'vega_pnl': 0.0, 'fee_pnl': -768.66}",36,105979.80378912465,0.726
-11798.68,-70.23,1004.01,-1.337,-1.66,-15452.56,0.5833,168,-10269.73,"{'delta_pnl': -1213.84, 'gamma_pnl': -4411.09, 'theta_pnl': 4621.07, 'vega_pnl': 0.0, 'fee_pnl': -525.09}",37,104468.54337833443,0.789
-21894.78,-130.33,1290.46,-1.93,-1.806,-26355.0,0.5714,168,-15803.06,"{'delta_pnl': -6292.47, 'gamma_pnl': -4721.81, 'theta_pnl': 5527.35, 'vega_pnl': 0.0, 'fee_pnl': -604.8}",38,115919.38614957704,0.794
-27261.01,-162.27,1641.13,-1.89,-2.014,-29425.24,0.5357,168,-18846.15,"{'delta_pnl': -7753.98, 'gamma_pnl': -4266.01, 'theta_pnl': 4125.91, 'vega_pnl': 0.0, 'fee_pnl': -520.78}",39,131626.46393537283,0.744
-56932.35,-338.88,2846.58,-2.275,-2.075,-59665.72,0.4643,168,-34867.0,"{'delta_pnl': -21440.62, 'gamma_pnl': -4507.87, 'theta_pnl': 4390.92, 'vega_pnl': 0.0, 'fee_pnl': -507.77}",40,151663.7999710095,0.792
12780.82,76.08,837.35,1.736,2.675,-10385.78,0.619,168,-1620.19,"{'delta_pnl': 11050.53, 'gamma_pnl': -5402.98, 'theta_pnl': 9479.23, 'vega_pnl': 0.0, 'fee_pnl': -725.78}",41,188132.06327602116,0.826
13137.96,78.2,731.34,2.044,3.291,-8680.15,0.6071,168,-1671.84,"{'delta_pnl': 10991.82, 'gamma_pnl': -7050.46, 'theta_pnl': 11792.62, 'vega_pnl': 0.0, 'fee_pnl': -924.18}",42,189725.35907291615,0.844
10400.89,61.91,415.85,2.845,11.575,-1953.61,0.6131,168,-485.3,"{'delta_pnl': 17486.84, 'gamma_pnl': -17178.92, 'theta_pnl': 12502.57, 'vega_pnl': 0.0, 'fee_pnl': -1924.3}",43,190865.93343524798,0.682
-10922.57,-65.02,1342.46,-0.926,-1.379,-17217.75,0.6012,168,-13726.77,"{'delta_pnl': 2017.4, 'gamma_pnl': -6824.47, 'theta_pnl': 8467.96, 'vega_pnl': 0.0, 'fee_pnl': -856.7}",44,188942.8636152584,0.826
-26418.24,-157.25,1944.53,-1.546,-1.864,-30807.38,0.5655,168,-20398.04,"{'delta_pnl': -4563.44, 'gamma_pnl': -7087.92, 'theta_pnl': 6413.22, 'vega_pnl': 0.0, 'fee_pnl': -782.06}",45,174373.80497308518,0.779
3689.3,21.96,818.0,0.513,1.043,-7692.25,0.5893,168,-5320.33,"{'delta_pnl': 7780.46, 'gamma_pnl': -8166.46, 'theta_pnl': 10560.09, 'vega_pnl': 0.0, 'fee_pnl': -1164.46}",46,195671.01160270025,0.711
-595.51,-3.54,1239.38,-0.055,-0.115,-11232.44,0.5833,168,-9246.18,"{'delta_pnl': 7327.88, 'gamma_pnl': -6457.3, 'theta_pnl': 8558.19, 'vega_pnl': 0.0, 'fee_pnl': -778.09}",47,192517.5691751119,0.864
-34404.83,-204.79,2172.73,-1.801,-2.016,-37110.1,0.5536,168,-24120.42,"{'delta_pnl': -8561.89, 'gamma_pnl': -6239.45, 'theta_pnl': 5211.31, 'vega_pnl': 0.0, 'fee_pnl': -694.38}",48,179405.13095635784,0.731
-5336.83,-31.77,1177.64,-0.516,-0.894,-12983.52,0.5119,168,-9067.95,"{'delta_pnl': 4404.03, 'gamma_pnl': -4126.49, 'theta_pnl': 3930.36, 'vega_pnl': 0.0, 'fee_pnl': -476.79}",49,153518.91441047765,0.775
-8006.76,-47.66,992.39,-0.918,-1.482,-11742.48,0.5417,168,-9545.43,"{'delta_pnl': 2306.96, 'gamma_pnl': -5234.43, 'theta_pnl': 5111.44, 'vega_pnl': 0.0, 'fee_pnl': -645.29}",50,143840.77962176385,0.725
-12035.77,-71.64,1042.07,-1.314,-1.325,-19742.57,0.5595,168,-12457.67,"{'delta_pnl': -1325.81, 'gamma_pnl': -5997.38, 'theta_pnl': 8566.45, 'vega_pnl': 0.0, 'fee_pnl': -821.37}",51,151908.092008187,0.805
8850.66,52.68,488.1,2.063,5.413,-3554.76,0.6131,168,-2591.11,"{'delta_pnl': 11640.83, 'gamma_pnl': -11059.03, 'theta_pnl': 12138.02, 'vega_pnl': 0.0, 'fee_pnl': -1278.03}",52,164841.6218839394,0.828
